"NAME","PERSON_NAME","PERSON_ID"
"CRUCELL HOLLAND B.V.","Crucell Holland B.V.",5209808
"TOSHIBA STORAGE DEVICE CORPORATION","Toshiba Storage Device Corporation",11526828
"TOSHIBA STORAGE DEVICE CORPORATION","Toshiba Storage Device Corporation",5285847
"DAIMLER AG","Daimler, AG",10423566
"ELAN PHARMACEUTICALS, INC.","Elan Pharmaceuticals Inc.",6666310
"ELAN PHARMACEUTICALS, INC.","Elan Pharmaceuticals Inc.",5714048
"ADVANCED MICRO DEVICES, INC.","Advanced Micro Devices, Inc.",11378905
"ADVANCED MICRO DEVICES, INC.","Advanced Micro Devices, Inc,",7072529
"ADVANCED MICRO DEVICES, INC.","Advanced Micro Devices Inc",6894715
"ADVANCED MICRO DEVICES, INC.","Advanced Micro Devices, Inc.",6760055
"IBRIX, INC.","IBRIX, Inc.",6313973
"COMMONWEALTH SCIENTIFIC AND INDUSTRIAL RESEARCH ORGANISATION","Commonwealth Scientific and Industrial Research Organisation",5359062
"SARTORIUS BIOTECH GMBH","Sartorius Biotech GmbH",8187377
"MSTAR SEMICONDUCTOR, INC.","MStar Semiconductor, Inc.",8673622
"MSTAR SEMICONDUCTOR, INC.","MSTAR SEMICONDUCTOR, INC.",5216295
"NEC CORPORATION","NEC Corporation",5545015
"NEC CORPORATION","NEC Corporation",5347252
"SAMSUNG ELECTRONICS CO., LTD","Samsung Electronics Co, Ltd",10703535
"SAMSUNG ELECTRONICS CO., LTD","Samsung Electronics Co., Ltd,",9329966
"SAMSUNG ELECTRONICS CO., LTD","Samsung Electronics Co., Ltd.",9531141
"SAMSUNG ELECTRONICS CO., LTD","Samsung Electronics Co., ltd",9715637
"SAMSUNG ELECTRONICS CO., LTD","Samsung Electronics Co., Ltd.",9636077
"SAMSUNG ELECTRONICS CO., LTD","Samsung Electronics Co., Ltd.",9937707
"SAMSUNG ELECTRONICS CO., LTD","Samsung Electronics Co., Ltd.",8339626
"SAMSUNG ELECTRONICS CO., LTD","Samsung Electronics., Co., Ltd.",7703418
"SAMSUNG ELECTRONICS CO., LTD","Samsung ElectronicsCo., Ltd.",7858280
"SAMSUNG ELECTRONICS CO., LTD","Samsung Electronics Co.. Ltd.",7571210
"SAMSUNG ELECTRONICS CO., LTD","Samsung Electronics Co., Ltd.",7220486
"SAMSUNG ELECTRONICS CO., LTD","Samsung Electronics Co., Ltd.",7344473
"SAMSUNG ELECTRONICS CO., LTD","Samsung Electronics Co., Ltd.",6944270
"SAMSUNG ELECTRONICS CO., LTD","Samsung Electronics Co., Ltd.",6446058
"SAMSUNG ELECTRONICS CO., LTD","Samsung Electronics Co., Ltd.",5970076
"SAMSUNG ELECTRONICS CO., LTD","Samsung Electronics Co. Ltd.",5692206
"SAMSUNG ELECTRONICS CO., LTD","SAMSUNG ELECTRONICS CO. LTD.",5617819
"SAMSUNG ELECTRONICS CO., LTD","Samsung Electronics Co., Ltd",5563823
"SAMSUNG ELECTRONICS CO., LTD","Samsung Electronics Co., Ltd.",5485766
"SAMSUNG ELECTRONICS CO., LTD","Samsung Electronics Co., Ltd.",5468820
"SAMSUNG ELECTRONICS CO., LTD","Samsung Electronics, Co. Ltd.",5301937
"SAMSUNG ELECTRONICS CO., LTD","Samsung Electronics, Co., Ltd.",5242434
"SAMSUNG ELECTRONICS CO., LTD","Samsung Electronics Co., Ltd.",5232275
"SAMSUNG ELECTRONICS CO., LTD","Samsung Electronics Co., Ltd.",5218591
"SAMSUNG ELECTRONICS CO., LTD","SAMSUNG ELECTRONICS CO. LTD.",5217587
"SAMSUNG ELECTRONICS CO., LTD","Samsung Electronics Co., Ltd.",5213673
"SAMSUNG ELECTRONICS CO., LTD","Samsung Electronics Co., Ltd.",5213612
"SAMSUNG ELECTRONICS CO., LTD","Samsung Electronics Co. Ltd",5210675
"ZOGENIX, INC.","Zogenix, Inc.",5564145
"KEMET ELECTRONICS CORPORATION","Kemet Electronics Corporation",7639632
"DOWA METALTECH CO., LTD.","Dowa Metaltech Co., Ltd",9711490
"DOWA METALTECH CO., LTD.","Dowa Metaltech Co., Ltd.",6901462
"ELAN PHARMA INTERNATIONAL LIMITED","Elan Pharma International Limited",8258617
"JANSSEN ALZHEIMER IMMUNOTHERAPY","Janssen Alzheimer Immunotherapy",9611421
"N. V. PERRICONE LLC","N.V. Perricone LLC",6796442
"DREW SCIENTIFIC HOLDINGS, INC.","Drew Scientific Holdings, Inc.",7499690
"COGNIS IP MANAGEMENT GMBH","Cognis IP Management GmbH",7299971
"TERUMO KABUSHIKI KAISHA","Terumo Kabushiki Kaisha",5269139
"TOKYO ELECTRON LIMITED","Tokyo Electron Limited",5297401
"TOKYO ELECTRON LIMITED","Tokyo Electron Limited",5238770
"DRUGTECH CORPORATION","DRUGTECH CORPORATION",5461279
"INDUSTRIAL TECHNOLOGY RESEARCH INSTITUTE","Industrial Technology Research Institute",11021529
"INDUSTRIAL TECHNOLOGY RESEARCH INSTITUTE","Industrial Technology Research Institute",8055208
"INDUSTRIAL TECHNOLOGY RESEARCH INSTITUTE","Industrial Technology Research Institute",6541110
"INDUSTRIAL TECHNOLOGY RESEARCH INSTITUTE","Industrial Technology Research Institute",5437208
"INDUSTRIAL TECHNOLOGY RESEARCH INSTITUTE","Industrial Technology Research Institute",5285179
"INDUSTRIAL TECHNOLOGY RESEARCH INSTITUTE","Industrial Technology Research Institute",5230606
"SUN MICROSYSTEMS, INC.","Sun Microsystems, Inc.",5226514
"FACET BIOTECH CORPORATION","Facet Biotech Corporation",8981227
"H. C. STARCK GMBH & CO. KG","H.C. Starck GmbH & Co. KG",6042236
"H.C. STARCK GMBH","H.C. Starck GmbH",6118598
"GLOBAL OLED TECHNOLOGY LLC","Global OLED Technology, LLC.",6203290
"HITACHI-GE NUCLEAR ENERGY, LTD.","Hitachi-GE Nuclear Energy, Ltd.",9481528
