"NAME","PERSON_NAME","PERSON_ID"
"THE REGENTS OF THE UNIVERSITY OF CALIFORNIA","The Regents of the University of California",5511146
"SONY COMPUTER ENTERTAINMENT INC.","Sony Computer Entertainment Inc.",5257472
"DAIMLER AG","Daimler, AG",10423566
"REMY TECHNOLOGIES, LLC","REMY TECHNOLOGIES, LLC",51545552
"NEW ENGLAND BIOLABS, INC.","New England Biolabs, Inc.",49953581
"ITT MANUFACTURING ENTERPRISES, LLC","ITT MANUFACTURING ENTERPRISES, LLC",53517007
"GEOSERVICES EQUIPEMENTS","Geoservices Equipements",11317099
"GEOSERVICES EQUIPEMENTS","Geoservices Equipements",45176876
"TAMIRAS PER PTE. LTD., LLC","TAMIRAS PER PTE LTD., LLC",52618787
"CATHEFFECTS, INC.","Catheffects, Inc.",11479310
"ALSTOM TECHNOLOGY LTD","ALSTOM Technology Ltd",5211999
"ALSTOM TECHNOLOGY LTD","ALSTOM TECHNOLOGY LTD.",49919600
"KOCHER-PLASTIK MASCHINENBAU GMBH","KOCHER-PLASTIK MASCHINENBAU GMBH",49861065
"TOSHIBA MATSUSHITA DISPLAY TECHNOLOGY CO., LTD.","Toshiba Matsushita Display Technology Co., Ltd.",5215911
"DCE APRILIS, INC.","DCE Aprilis, Inc.",11365209
"SONY CORPORATION","Sony Corporation",47180962
"SONY CORPORATION","Sony Corporation",45192742
"MAQUET CARDIOVASCULAR, LLC","MAQUET CARDIOVASCULAR, LLC",53634239
"VOCALCOMM GROUP, LLC","VocalComm Group, LLC",8953942
"TRUCK-LITE CO., LLC","Truck-Lite Co., LLC",6184665
"NATIONAL OILWELL VARCO, L.P.","National Oilwell Varco, L.P.",5248412
"NATIONAL OILWELL VARCO, L.P.","National Oilwell Varco, LP",11892664
"NATIONAL OILWELL VARCO, L.P.","NATIONAL OILWELL VARCO, L.P",11690722
"MOMENTIVE PERFORMANCE MATERIALS INC.","Momentive Performance Materials Inc.",12448954
"MOMENTIVE PERFORMANCE MATERIALS INC.","Momentive Performance Materials Inc.",6242390
"RICH PRODUCTS CORPORATION","Rich Products Corporation",5888911
"RALINK TECHNOLOGY CORPORATION","RALINK TECHNOLOGY CORPORATION",11000913
"RALINK TECHNOLOGY CORPORATION","RALINK TECHNOLOGY CORPORATION",36832150
"MCALISTER TECHNOLOGIES, LLC","McAlister Technologies, LLC",52630919
"MCALISTER TECHNOLOGIES, LLC","McAlister Technologies, LLC",50052508
"PROPRIETECT L.P.","Proprietect LP",11310986
"HOIST FITNESS SYSTEMS, INC.","Hoist Fitness Systems, Inc.",47311989
"WHITEWATER WEST INDUSTRIES, LTD.","WhitewaterWest Industries Ltd.",53516317
"CRS MEDICAL DIAGNOSTICS, INC.","CRS Medical Diagnostics, Inc.",11594241
"OBERTHUR GAMING TECHNOLOGIES INC.","Oberthur Gaming Technologies Inc.",6975681
"SUMITOMO METAL MINING CO., LTD.","Sumitomo Metal Mining Co., Ltd",11076483
"COBARR S.P.A.","Cobarr S.p.A.",8602629
"APPLIED MICRO CIRCUITS CORPORATION","Applied Micro Circuits Corporation",47246079
"TIVO INC.","TiVo, Inc.",7294508
"DOMETIC CORPORATION","DOMETIC CORPORATION",11389329
"ATLANTIC INERTIAL SYSTEMS LIMITED","Atlantic Inertial Systems Limited",11489154
"BIO PRODUCTS LABORATORY LIMITED","Bio Products Laboratory Limited",45170645
"BIO PRODUCTS LABORATORY LIMITED","Bio Products Laboratory Limited",12151276
"MITSUBISHI CHEMICAL CORPORATION","Mitsubishi Chemical Corporation",5231023
"TOSHIBA MOBILE DISPLAY CO., LTD.","Toshiba Mobile Display Co., Ltd.",11224482
"ULVAC, INC.","ULVAC, Inc.",8684226
"ULVAC, INC.","Ulvac, Inc.",5254174
"FUJI XEROX CO., LTD.","FUJI XEROX CO., LTD.",52601393
"FUJI XEROX CO., LTD.","Fuji Xerox Co., Ltd.",49876616
"FUJI XEROX CO., LTD.","Fuji Xerox Co., Ltd.",11527722
"DRAEGER MEDICAL SYSTEMS, INC.","Draeger Medical Systems, Inc.",5647498
"SINGULUS TECHNOLOGIES AG","Singulus Technologies AG",6020046
"BOA BALG- UND KOMPENSATOREN-TECHNOLOGIE GMBH","BOA Balg- und Kompensatoren- Technologie GmbH",7732344
"BOA BALG- UND KOMPENSATOREN-TECHNOLOGIE GMBH","Boa Balg—und Kompensatoren—Technologie GmbH",49881562
"SUMCO CORPORATION","Sumco Corporation",7703959
"SAVANNAH RIVER NUCLEAR SOLUTIONS, LLC","SAVANNAH RIVER NUCLEAR SOLUTIONS, LLC",53491141
"SYNGENTA CROP PROTECTION AG","SYNGENTA CROP PROTECTION AG",11747726
"AIR SYSTEM COMPONENTS, INC.","AIR SYSTEM COMPONENTS, INC.",45228259
"SEOUL SEMICONDUCTOR CO., LTD.","SEOUL SEMICONDUCTOR CO., LTD.",48428939
"ACTELION PHARMACEUTICALS, LTD.","Actelion Pharmaceuticals Ltd.",11622860
"NANYA TECHNOLOGY CORP.","Nanya Technology Corp.",7390621
"NANYA TECHNOLOGY CORP.","Nanya Technology Corp.",9109476
"NANYA TECHNOLOGY CORP.","Nanya Technology Corp.",6550173
"EXXONMOBIL UPSTREAM RESEARCH COMPANY","ExxonMobil Upstream Research Company",50046312
"EXXONMOBIL UPSTREAM RESEARCH COMPANY","EXXON-MOBIL UPSTREAM RESEARCH COMPANY",11311194
"EXXONMOBIL UPSTREAM RESEARCH COMPANY","ExxonMobil. Upstream Research Company",47257212
"CANON KABUSHIKI KAISHA","Canon Kabushiki Kaisha",6795385
"CANON KABUSHIKI KAISHA","CANON KABUSHIKI KAISHA",52614611
"CANON KABUSHIKI KAISHA","CANON KABUSHIKI KAISHA",47351002
"LG ELECTRONICS, INC.","LG Electronics Inc.",5210722
"LG ELECTRONICS, INC.","LG Electronics Inc.",5216287
"LG ELECTRONICS, INC.","LG ELECTRONICS INC.",52597763
"FDK CORPORATION","FDK CORPORATION",47274938
"TAIWAN SEMICONDUCTOR MANUFACTURING COMPANY. LTD.","Taiwan Semiconductor Manufacturing Company, Ltd.",52545385
"TAIWAN SEMICONDUCTOR MANUFACTURING COMPANY. LTD.","Taiwan Semiconductor Manufacturing Company, Ltd.",5444465
